first_name,last_name,phone_number,street,county,email,ID,dob,date,val1,val2,val1_CI
Hoover,Swift,1-820-530-6339,642 72th Avenue W,Pierce County,oo'connell@gmail.com,238-81-8708,1960-06-05,2024-02-24,1,1,0.99-1
Jerimy,Hammes,120-107-6198,8085 Noemie Way,Clallam County,krajcik.glynn@yahoo.com,163-43-7463,1940-10-31,09/14/24,0.34,0.018,0.34-0.35
Emilee,Ferry,1-037-411-3655x17041,3776 5th St. NE,Franklin County,dessa19@llc.org,781-67-7952,1970-08-10,2025/01/10,0.964,0.914,0.88-0.99
Brittany,Cremin,133.055.7951,310  Walsh Parks Drive,Franklin County,kschamberger@gleichner.com,889-26-9781,2010-09-03,2025-08-20,0.924,0.677,0.9-0.93
John,Kulas,(964)067-0977x7122,784 West Sporer Ste,Pierce County,tromp.jeryl@schmeler.com,767-31-0340,1937-08-01,04/14/2024,0.825,1,0.8-0.84
Unknown,Jakubowski,1-285-564-3248x12022,024 Kunze Pl SW,Clark County,benita54@llc.biz,331-49-2985,2017-04-10,2025/06/20,0.703,0.621,0.65-0.74
Turner,Rodriguez,381.581.1622x5862,338 69th Ave.,Benton County,nitzsche.lue@yahoo.com,190-84-3572,2016-02-26,04/13/25,0.349,0.496,0.34-0.37
Tomika,Marks,1-967-598-3721,155 W First St Apt. 996,King County,david.hegmann@corwin.net,453-96-0906,2019-01-31,04/19/2024,0.06,0.48,0.01-0.09
Willaim,Reilly,1-986-101-1561,4873 Shanika Place South,Snohomish County,noreta.nader@yahoo.com,049-09-4282,2004-03-05,07/11/2025,0.454,1,0.42-0.47
Corene,Lowe,(794)509-1258,67568 South Lang Ste,King County,evalena.hoppe@hotmail.com,145-86-8348,2001-08-07,2025-07-23,0.237,0.157,0.21-0.24
Evelin,Murazik,+24(1)2042152467,8783 21th Street NE,King County,arno.price@gmail.com,711-31-4379,1994-07-17,01/08/2025,0.193,0.608,0.18-0.27
Ruben,Prohaska,660-906-7418,91799 Torry Vista SouthEast,Pierce County,olson.dwight@abernathy.info,022-82-3463,1985-08-07,2024/04/20,0.997,0.996,0.99-1
Camden,Kerluke,443-986-9818,42369 S Waelchi Ste,Clark County,christopher79@yahoo.com,813-25-2378,2019-06-26,03/13/25,0.834,0.565,0.8-0.85
Brion,Schinner,1-297-937-9111x74731,87837 SouthWest Skiles Ave,Clark County,bkilback@hotmail.com,110-18-7141,1956-09-07,2025/04/18,0.575,0.589,0.51-0.66
Eve,Hand,03029639404,.,Pierce County,hassan60@yahoo.com,567-95-9399,1982-10-06,12/07/2024,1,0.911,0.97-1
Haden,Reinger,098-485-0406x7693,23056 Schamberger Highway,Pierce County,schuppe.ismael@hotmail.com,779-12-8946,2012-04-10,01/16/2024,0.984,1,0.95-0.99
Stephanie,Torphy,123-509-1981x94200,0620 12th St,King County,kourtney96@dickens.com,625-23-5974,1981-10-17,01/14/2024,0.357,0.171,0.3-0.37
Debera,McGlynn,(576)650-7406x7846,24531 Lionel Dr NE,Spokane County,peffertz@gmail.com,879-46-3580,1934-05-31,03/20/2025,0.604,0.53,0.55-0.64
Marquita,Bashirian,947-002-9503,84964 NorthEast Howe Market,Skagit County,jasiah67@douglas.org,324-37-5569,2024-02-06,04/13/2024,0.567,0.312,0.52-0.57
Guido,Gerhold,1-735-803-6969x579,4067 Ruie Way NorthEast,Benton County,taylor.dickinson@and.net,408-32-1502,1958-04-17,2024-08-12,0.213,0.421,0.18-0.24
Furman,Zieme,628.634.3576x37021,0502 Bartell Place South,Yakima County,auguste81@llc.net,465-53-4141,1950-08-30,2025-07-17,0.968,0.77,0.92-0.98
Hildred,DuBuque,1-536-801-4341x25491,471 Gulgowski Hwy Apt. 565,Clark County,rogers07@gmail.com,584-54-1238,2014-06-12,2024-12-18,0.846,0.837,0.81-0.94
Tyesha,Gutkowski,1-174-391-5396x43230,40101 Graciela St W,Yakima County,ashlynn09@ltd.com,378-73-5246,1990-06-10,12/07/2024,0.781,0.945,0.77-0.78
Dejon,Schinner,1-345-199-3341x788,32555 Pollich Vista NE,Whitman County,corwin.d'amore@gmail.com,365-69-5143,1997-10-15,01/30/2024,0.999,0.117,0.99-1
Pandora,Jacobs,(830)047-1365x7250,112 Wintheiser Vista E,King County,champlin.simmie@koelpin.com,654-37-2306,1939-03-21,2025/02/17,0.355,0.09,0.33-0.42
Ednah,Klocko,(132)613-6161x54171,7344 NorthWest Thor Drive,Spokane County,derwin.lakin@hotmail.com,151-38-6247,2022-10-27,05/17/2024,0.261,0.151,0.25-0.26
Benjamine,Feest,(628)474-6359x0484,21492 SW Damian St,King County,jaymes58@weissnat.org,374-37-5667,2020-07-02,2025/04/11,0.363,0.411,0.34-0.38
Romello,Mertz,768.965.0410x0338,0258 13th St,King County,saundra.stokes@and.com,168-84-7917,2018-01-19,2025-04-29,0.112,0.405,0.08-0.15
Trisha,Schuster,365.037.7272,247 SouthWest 66th Ave,Cowlitz County,cbahringer@effertz.com,434-24-0098,1935-11-26,02/28/25,0.009,0.122,0-0.02
Maximiliano,Stark,255.283.5249,82404 Parlee Pl Apt. 836,Pierce County,texie28@ziemann.com,684-25-8178,1981-06-02,04/11/2025,0.763,0.013,0.76-0.79
Julia,Muller,885-440-0869x6978,6823 North Reichert Avenue,Snohomish County,patty.hegmann@hotmail.com,451-19-6310,1979-06-23,05/25/2025,0.931,0.998,0.86-0.97
Aggie,Kshlerin,(205)934-1635,121414,King County,migdalia26@plc.com,245-66-3057,2022-09-15,2024/07/07,0.258,0.603,0.24-0.27
Effie,Ward,625-074-2638x40610,604 34th St. Apt. 315,King County,dnader@douglas.com,173-93-4926,1960-12-20,07/18/2024,0.442,0.639,0.39-0.46
Caren,Towne,021.301.1623x781,33768 Hyatt Road S Apt. 490,Skagit County,bnitzsche@llc.com,456-70-5753,1938-05-09,2025-03-25,0.491,0.724,0.4-0.5
Lesia,Cummings,1-586-682-2892,887 Gene Highway NorthWest,KingCounty,purdy.debrah@and.net,120-73-0225,2009-08-20,01/01/2024,0.044,0.261,0.02-0.1
Leana,Leuschke,(563)166-8152x57758,2054 West Elouise Street,Pierce County,witting.titus@rogahn.biz,529-87-7631,1981-10-09,2025/07/11,1,1,0.97-1
Stefanie,Effertz,381-929-4684x0875,629 Langworth Blvd,Whatcom County,wfeil@yahoo.com,165-68-2317,2021-05-04,2025-04-05,0.018,0,0-0.03
Annalise,Mills,1-216-894-6343,84270 NorthWest 73th Street,Mason County,dedrick23@yahoo.com,423-48-4052,1961-10-05,2025-07-09,0.712,0.973,0.67-0.72
Abbigail,Gaylord,1-882-860-9256x375,202 NE 72th Ave,King County,swunsch@hessel.com,390-70-3473,1938-10-26,07/23/25,0.225,0.526,0.14-0.24
Jamil,Dare,815.600.9715,01868 Lott Blvd SW,Thurston County,marla.hilpert@plc.net,677-14-7975,1955-12-23,08/02/2025,0.001,0.088,0-0.06
Alwina,Crooks,1-861-122-3193x19822,519 Walter Mount Apt. 558 Pl Apt. 558,Clark County,hahn.jordi@llc.com,405-07-3073,1974-01-07,08/15/2024,0.701,0.456,0.67-0.72
Fernand,Schinner,1-474-819-6144,student,Snohomish County,oaufderhar@shields.com,156-68-4141,1935-02-09,02/06/2025,0.975,1,0.97-1
Tatyanna,Simonis,1-406-169-5989x811,982 Judah Street NorthEast,Benton County,rgraham@yahoo.com,212-14-1860,2012-04-30,2024-05-09,0.311,0.76,0.27-0.34
Trae,McClure,(994)858-1629x34847,7268 William Way,King County,hobert56@and.com,632-63-3159,1952-11-28,03/01/2025,0.068,0.646,0.05-0.12
Debby,Rogahn,1-588-404-7093x013,6771 72th Avenue,Adams County,algernon48@legros.com,210-92-9715,1970-06-22,03/28/2024,0.848,1,0.84-0.94
